vessel_name,imo,year
ACHILLEAS,9398072,2010
BALLA,9749556,2017
PATROCLUS,9413834,2009
BELMAR,9516959,2023
PEGASUS,9412103,2014
BOTAFOGO,9395329,2010
PHAETHON,9412098,2009
CALIDA,9522128,2012
SEA AMETHYST,9920693,2022
COROSSOL,9395331,2010
SEA GARNET,9772943,2017
DALI,9070735,2018
AEGEAN MARATHON,9745225,2016
DAYTONA,9313266,2008
AEGEAN UNITY,9745237,2016
FLAVIN,9787912,2018
AEGEAN VISION,9645437,2016
MARETA,9537927,2013
KRITI ENERGY,9935636,2022
MINDORO,9310795,2009
KRITI FUTURE,9924326,2022
RIVERA,9777943,2018
KRITI HERO,9887308,2021
RYMAN,9777931,2017
KRITI KING,9887255,2021
SAGA,9528031,2018
BORDEIRA,9529499,2013
STAMOS,9592276,2012
FONTANA,9792541,2017
TIGANI,9776767,2017
FREUD,9804461,2018
WAIKIKI,9776755,2017
IPANEMA,9499929,2013
ALEXIA,9389966,2015
KAREKARE,9787986,2017
MERBABU,9388364,2008
LIPARI,9529487,2012
SEMERU,9388376,2008
MALIBU,9776731,2019
ANDROMEDA,9943061,2009
MARFA,9773478,2017
AQUALIBERTY,9592226,2011
MATALA,9776743,2010
CARIBBEAN VOYAGER,9857860,2013
NANTUCKET,9600865,2014
CARINA VOYAGER,9897834,2021
PETALIDI,9529475,2012
GEMINI SUN,9343340,2008
SAMSARA,1012177,2017
IONIC ANASSA,9779795,2016
TAHITI,8844531,2014
MEDITERRANEAN VOYAGER,9857858,2019
TAIPAN,9311866,2009
NAVE COSMOS,9457024,2022
TAMARA,9600889,2011
NAVE PERSEUS,9993896,2025
TOSKA,9996434,2024
NAVE PHOTON,9971721,2024
VADELA,9996408,2024
PACIFIC PEARL,9893072,2009
VILAMOURA,9529293,2012
SAFEEN STRENGTH,9543524,2012
AMALIA M,9924003,2022
TARBET SPIRIT,9408322,2009
CE-BERMUDA,9411226,2009
DELTA STAR,9458016,2013
DINO,8841345,2022
T.KURUCESME,9692478,2015
KAPSALI,9587312,2011
AGIOS GERASIMOS,9693056,2015
LENI P.,9594133,2011
HYDRA,7347823,2011
MIKELA P.,9440382,2009
YPAPANTI,9693082,2016
POPI P,9934319,2023
MINERVA SOPHIA,9382762,2009
PSERIMOS,9578658,2011
ATLANTIC EMERALD,9893022,2022
YANNIS P.,9411343,2023
ATLANTIC JADE,9892987,2022
ATLANTIC M,9907237,2016
BERGEN TS,9737400,2016
CE-HAMILTON,9411238,2009
CHIOS DF,9953482,2024
CHRISTINA,9061253,2024
ELIAS TSAKOS,9724075,2016
ENERGY DELOS,9994565,2025
ITHAKI DF,9953494,2024
ENERGY TRIUMPH,9817614,2018
LEONTIOS H,9724336,2016
MARAN HELEN,9779381,2017
MARATHON TS,9737371,2017
MILITOS,9607435,2012
NJORD DF,9953468,2023
DELTA ATLANTICA,9419101,2011
PARTHENON TS,9724348,2017
DELTA BLUE,9601235,2013
RAN DF,9953470,2023
DELTA COMMANDER,9418157,2010
STAVANGER TS,9737395,2017
DELTA EURYDICE,9700706,2015
THOMAS ZAFIRAS,9724087,2016
DELTA HARMONY,9408463,2009
ALEGRIA I,9543536,2012
DELTA HELLAS,9406673,2009
FRANKOPAN,9796731,2017
DELTA IOS,9406685,2009
MARITIME GLORY,9863429,2021
DELTA KANARIS,9429015,2010
MEGAN GLORY,9953054,2023
DELTA MARIA,9700691,2015
MINERVA CORALIA,9728239,2017
DELTA MARINER,9579573,2013
NAVIG8 PROSPERITY,9855496,2019
DELTA MED,9412309,2010
NEW ACTIVITY,9361524,2008
DELTA OCEAN,9408475,2009
P. ALIKI,9460136,2010
DELTA POSEIDON,9468671,2011
SEA VALIANT,9420629,2010
DELTA SKY,9410181,2009
STI GAUNTLET,9717137,2017
DELTA SPIRIT,9419096,2010
TP AFFINITY,9645401,2016
DELTA SUPREME,9585895,2012
UNITY VENTURE,9773739,2017
DELTA TOLMI,9429027,2010
ADAM,9826732,2010
NAUTILUS I,9298765,2006
ALBERT,9682447,2019
PASCHALIS DD,9765378,2018
ALEXANDER,6603012,2012
T. SADBERK,9804136,2017
ALATAU,9416551,2009
T. SEMAHAT,9804148,2017
ALTAI,9446427,2011
AFRICA,9905320,2022
SAFEEN BARONESS,9460576,2011
AGISTRI,9597018,2012
SAFEEN ELONA,9488011,2012
ANTARCTICA,9910492,2010
NISSOS CHRISTIANA,9694658,2015
ANTIGUA I,9753363,2017
NISSOS PAROS,9592290,2011
CHIOS I,9792187,2017
NISSOS SERIFOS,9592264,2012
ELENI,1007500,2009
GHIBLI,9208186,2009
GIANNIS,9432050,2011
LADY HENRIETTA,9604380,2023
GLADIATOR,1010569,2017
NAVIG8 PRECISION,9831294,2018
JIAOLONG,9379208,2009
NAVIG8 PRESTIGE JKB,9831309,2019
KAROLOS,9410208,2009
NAVIG8 PRIDE LHJ,9947366,2023
KASOS,9800257,2018
NAVIG8 PROMISE,9791298,2019
LESVOS,9323924,2017
NAVIG8 PROVIDENCE,9947378,2023
MARATHI,9772357,2022
SELIGER,9402263,2009
MOUNT FUJI,9509011,2023
ALYARMOUK,9356438,2008
NOVO,9633446,2011
MARAN ATLAS,9414022,2009
ODESSA,9366603,2013
OHIO,9417440,2009
PISSIOTIS,9509023,2010
VALFOGLIA,9417309,2009
POLA,9308998,2011
VALLESINA,9417311,2009
PSARA I,9772333,2017
